sym,side,live_gain_pct,live_bh_pct,live_delta,live_gain_per_mo,live_dd,live_trades,live_window_days,live_source,vec_gain_pct,vec_bh_pct,vec_delta_per_mo,vec_gain_per_mo,vec_dd,vec_tim,vec_trades,vec_window_days,vec_bars,entry_overrides,exit_overrides,reentry_overrides
BNO,LONG,900.0027827,1.06960262,898.93318007,217.30348935369005,0.00498488,10,126.07291667,autonomous_direct_v8,1.5277,1.074,0.2194,0.7387,1.4,1.44,44,62.0,17868,TRADIER_MFI_ENTRY_LONG_ENABLED=True,,
BOTZ,SHORT,PENDING_12h,,,,,,,,-1.0773,-4.8163,2.8004,-0.8069,2.33,1.03,18,40.1,11536,RSI_ENTRY_MAX_LONG=18.5,,
BWXT,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
CAT,LONG,2802.47383513,106.03613464,2696.43770049,233.39004654630273,0.11389675,51,365.51388889,autonomous_direct_v8,-4.2149,149.0051,-18.8544,-0.5187,7.07,1.06,117,243.8,70213,,RZ_ZSCORE_EXIT_ENABLED=False;MI_DIV_EXIT_ENABLED_TRADIER=False,
CAT,SHORT,PENDING_12h,,,,,,,,-77.0018,-149.0051,8.8603,-9.4754,90.04,43.38,4418,243.8,70213,LR_BAND_ENTRY_LO=0.15;BB_SQUEEZE_ENTRY_ENABLED=False,GOLDEN_RULE_EXIT_MIN_IND=3,
CDE,SHORT,PENDING_12h,,,,,,,,3.4478,-340.6977,31.9369,0.32,3.23,0.39,71,323.3,93103,REENTRY_2_ENABLED=True;DELTA_EXIT_REENTRY_COOLDOWN_MIN=22.5,DELTA_EXIT_REENTRY_COOLDOWN_MIN=22.5,REENTRY_2_ENABLED=True;DELTA_EXIT_REENTRY_COOLDOWN_MIN=22.5
CDW,LONG,1293.23720225,29.8808577,1263.35634455,585.1888327795448,0.0,13,67.27083333,autonomous_direct_v8,-0.6521,29.9034,-59.206,-1.2635,0.92,0.74,5,15.5,4459,,,
CF,LONG,4878.155992,33.4553685,4844.7006235,406.50774413458305,0.03743333,49,365.28472222,autonomous_direct_v8,250.4965,46.3948,30.2088,37.0756,6.09,47.41,3412,202.7,58375,,,
CHRD,LONG,PENDING_12h,,,,,,,,14.7351,-20.0832,5.8597,2.4798,2.0,1.26,75,178.3,51339,,,
CIBR,LONG,497.08062699,37.64280167,459.43782532,122.39886172983843,0.00831957,6,123.62152778,autonomous_direct_v8,22.6137,37.7799,-12.8002,19.0859,10.41,42.95,649,35.5,10237,,,
CIEN,LONG,872.43110591,-28.71360352,901.14470943,391.7414067008423,0.87722041,9,67.79166667,autonomous_direct_v8,-0.2218,-29.029,30.3493,-0.2337,0.22,0.02,1,28.5,8201,,,
CIEN,SHORT,PENDING_12h,,,,,,,,48.6061,29.029,20.6251,51.208,16.32,33.53,606,28.5,8201,LR_BAND_ENTRY_PRIORITY=True,R3_HTF_FLIP_EXIT_ENABLED=False;RZ_MFI_EXIT=85.0,
CLF,SHORT,PENDING_12h,,,,,,,,5.4014,44.8263,-3.7895,0.5192,4.24,0.67,89,312.1,89888,TF_FOCUS_ENTRY_HARD_GATE=False;MTF_ENTRY_REQUIRE_GR_FILTER=True;BB_ENTRY_LONG_THRESHOLD=0.3,,REENTRY2_STOCH_CROSS_ENABLED=True
CLX,SHORT,PENDING_12h,,,,,,,,-0.0863,36.7962,-5.8555,-0.0137,2.37,0.82,68,189.0,54421,,TRADIER_RSI2_EXIT_THRESHOLD_LONG=67.5,
CMC,LONG,7885.55615251,27.68215923,7857.87399328,657.1336771189345,0.10089099,82,365.27777778,autonomous_direct_v8,6.1464,19.2494,-2.259,1.0597,1.39,1.28,71,174.0,50114,,,
CMC,SHORT,PENDING_12h,,,,,,,,9.2399,-19.2494,4.9118,1.593,1.3,0.98,63,174.0,50114,,,
CME,SHORT,PENDING_12h,,,,,,,,-11.7338,-19.1757,1.1715,-1.8472,18.73,45.74,3309,190.6,54883,,RSI_EXIT_SHORT_TRADIER=22.5;RZ_MFI_EXIT=85.0;DC_RECOVERY_EXIT_TOLERANCE_ATR_MULT=0.0,
COE,SHORT,PENDING_12h,,,,,,,,-3.1895,27.7816,-61.9422,-6.379,3.19,0.25,4,15.0,2437,DELTA_REENTRY_MIN_TF=2,,DELTA_REENTRY_MIN_TF=2
COP,LONG,8457.00146468,33.90404434,8423.09742034,669.4431902791468,1.12359741,89,384.54513889,autonomous_direct_v8,5.5231,-4.2423,1.1915,0.6739,1.63,1.11,91,245.9,70815,LIVE_ENTRY_ENGINE_REENTRY_SIZE_MULT=0.5,,LIVE_ENTRY_ENGINE_REENTRY_SIZE_MULT=0.5
CRWD,LONG,PENDING_12h,,,,,,,,4923.6527,-44.0983,455.2687,451.2273,74.49,40.81,6201,327.4,94277,,,
CRWD,SHORT,PENDING_12h,,,,,,,,-1626.8193,44.0983,-153.131,-149.0896,1249.53,41.38,6141,327.4,94277,,,
DAR,LONG,8381.3760466,68.35289959,8313.02314701,698.1934170425683,0.02173421,86,365.41319444,autonomous_direct_v8,4.8337,38.54,-5.6889,0.8158,2.42,0.82,69,177.7,51191,REENTRY_STOCH_K_MAX_LONG=60.0;TRA_DISABLE_DELTA_ENTRY=False;LIVE_ENTRY_ENGINE_REENTRY_SIZE_MULT=1.5,GOLDEN_RULE_EXIT_MIN_TFS=1;TRA_NO_LOSS_EXIT=False,REENTRY_STOCH_K_MAX_LONG=60.0;LIVE_ENTRY_ENGINE_REENTRY_SIZE_MULT=1.5
DELL,LONG,881.27776112,41.0709375,840.20682362,456.9925099857855,0.0,9,58.70138889,autonomous_direct_v8,,,,,,,,,,,,
