Date,Time(UTC),Account,Side,Action,Price,Gain%,Category,Reason(truncated)
2026-05-06,00:33:10,flz,SHORT,QUICK_CLOSE,359.02,,WT_4H_VEL_EXIT_vel=90.1_g=1.48%_k3m=32_k15m=6_MANDATORY_REEN,WT_4H_VEL_EXIT_vel=90.1_g=1.48%_k3m=32_k15m=6_MANDATORY_REENTRY
2026-05-06,02:24:33,flz,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult2.0_INTERVENTION
2026-05-06,02:24:59,flz,SHORT,CLOSE,359.02,,DC_BB_BREAK_UP → closes SHORT (correct),DC_BB_D_BREAK_REVERSE_close_DC_BREAK_UP
2026-05-06,03:10:50,flz,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult2.0_INTERVENTION
2026-05-06,03:11:07,flz,SHORT,CLOSE,359.02,,DC_BB_BREAK_UP → closes SHORT (correct),DC_BB_D_BREAK_REVERSE_close_DC_BREAK_UP
2026-05-06,03:11:49,flz,SHORT,CLOSE,527.33,,DC_BB_BREAK_UP → closes SHORT (correct),DC_BB_D_BREAK_REVERSE_close_DC_BREAK_UP
2026-05-06,03:12:31,flz,SHORT,CLOSE,359.02,,DC_BB_BREAK_UP → closes SHORT (correct),DC_BB_D_BREAK_REVERSE_close_DC_BREAK_UP
2026-05-06,03:28:27,flz,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult2.0_INTERVENTION
2026-05-06,03:31:34,flz,SHORT,CLOSE,359.02,,DC_BB_BREAK_UP → closes SHORT (correct),DC_BB_D_BREAK_REVERSE_close_DC_BREAK_UP
2026-05-06,03:45:50,flz,SHORT,CLOSE,359.02,,DC_BB_BREAK_UP → closes SHORT (correct),DC_BB_D_BREAK_REVERSE_close_DC_BREAK_UP
2026-05-06,05:14:53,flz,LONG,OPEN,531.13,,GOLDEN_RULE_LONG,GOLDEN_RULE_LONG_mult3.0_INTERVENTION
2026-05-06,05:15:17,flz,LONG,CLOSE,531.13,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,05:49:03,flz,LONG,OPEN,541.82,,GOLDEN_RULE_LONG,GOLDEN_RULE_LONG_mult3.0_INTERVENTION
2026-05-06,05:49:28,flz,LONG,CLOSE,541.82,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:27:18,flz,LONG,OPEN,546.87,,GOLDEN_RULE_LONG,GOLDEN_RULE_LONG_mult3.0_INTERVENTION
2026-05-06,06:27:41,flz,LONG,CLOSE,546.87,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:28:38,flz,LONG,CLOSE,546.23,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:29:05,flz,LONG,CLOSE,546.23,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:29:25,flz,LONG,CLOSE,546.23,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:37:13,flz,LONG,CLOSE,540.70,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:45:18,flz,LONG,CLOSE,541.44,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:46:35,flz,LONG,CLOSE,541.44,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:48:39,flz,SHORT,OPEN,541.44,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_open_DC_CROSSBACK_TO_SHORT
2026-05-06,06:48:59,flz,SHORT,CLOSE,541.44,,DC_BB_BREAK_UP → closes SHORT (correct),DC_BB_D_BREAK_REVERSE_close_DC_BREAK_UP
2026-05-06,06:49:59,flz,LONG,CLOSE,541.44,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
2026-05-06,06:51:17,flz,LONG,CLOSE,541.44,,DC_CROSSBACK_TO_SHORT ← FIXED,DC_BB_D_BREAK_REVERSE_close_DC_CROSSBACK_TO_SHORT
