symbol,side,open_ts,close_ts,held_min,entry_px,exit_px,pnl_pct,close_type,close_reason
FETUSDT,SHORT,2026-03-18T06:48:09+00:00,2026-03-18T08:10:57+00:00,82.8,0.226961,0.224671,1.009,CLOSE,Manual/System Detection
FIDAUSDT,SHORT,2026-04-02T00:56:43+00:00,2026-04-02T01:01:07+00:00,4.4,0.0159296,0.0157812,0.931,CLOSE,GUARANTEED_REENTRY_k1m85_k3m35_exit0.0153_px0.0154_crossedFa
FLUXUSDT,LONG,2026-03-29T05:22:40+00:00,2026-04-02T00:14:38+00:00,5452.0,0.0559927,0.05877,4.960,CLOSE,HAIKU_WINNER_AUG_4.9pct
GALAUSDT,SHORT,2026-03-16T21:49:45+00:00,2026-03-16T22:56:55+00:00,67.2,0.00367515,0.00369934,-0.658,CLOSE,Manual/System Detection
GRTUSDT,LONG,2026-04-06T01:17:49+00:00,2026-04-06T02:14:50+00:00,57.0,0.02381,0.02381,-0.000,CLOSE,QUICK_HEDGE_KILL_LOSING_IN_DUAL_-1.45%
GRTUSDT,LONG,2026-04-06T08:41:21+00:00,2026-04-06T08:50:42+00:00,9.3,0.02418,0.02421,0.124,CLOSE,QUICK_BANDAID_OFF_wt15m_6.2>8.7_hgain0.45%
HIVEUSDT,LONG,2026-03-29T15:01:36+00:00,2026-03-29T15:05:04+00:00,3.5,0.0563682,0.05629,-0.139,CLOSE,HEDGE_PROTECT_SHORT_LOSS
HIVEUSDT,LONG,2026-03-29T16:05:44+00:00,2026-03-29T16:07:51+00:00,2.1,0.056209,0.056209,0.000,CLOSE,HEDGE_PROTECT_SHORT_LOSS
HYPEUSDT,LONG,2026-03-17T14:49:01+00:00,2026-03-19T03:17:50+00:00,2188.8,41.3738,41.341,-0.079,CLOSE,Manual/System Detection
HYPEUSDT,LONG,2026-03-19T06:16:23+00:00,2026-03-19T12:11:36+00:00,355.2,41.4782,39.3211,-5.201,CLOSE,Manual/System Detection
ICPUSDT,SHORT,2026-03-18T01:10:28+00:00,2026-03-18T13:23:35+00:00,733.1,2.66139,2.59538,2.480,CLOSE,Manual/System Detection
ICXUSDT,SHORT,2026-03-20T01:05:22+00:00,2026-03-28T02:27:26+00:00,11602.1,0.0336475,0.0336,0.141,CLOSE,OS_HIGHER_LOW_k15:0.0_lo3:0.03>prev:0.03
IDUSDT,LONG,2026-04-04T10:58:23+00:00,2026-04-04T11:29:24+00:00,31.0,0.0317322,0.0317322,0.000,CLOSE,QUICK_HEDGE_BAL_CLOSE_SENT-1_RATIO0.00
IDUSDT,LONG,2026-04-04T11:30:08+00:00,2026-04-04T11:56:40+00:00,26.5,0.03179,0.03179,0.000,CLOSE,WT_15M_SAME_HEDGE_FOR_inf:IDUSDT_SHORT_wt116.6
IDUSDT,LONG,2026-04-04T12:04:00+00:00,2026-04-04T12:07:53+00:00,3.9,0.03203,0.03203,0.000,CLOSE,QUICK_HEDGE_SAME_SYM_LAST_RESORT
IDUSDT,LONG,2026-04-04T12:22:49+00:00,2026-04-04T20:03:06+00:00,460.3,0.0318938,0.0316907,-0.637,CLOSE,QUICK_REDUCE_STRONG_REDUCE_k_1m:99/d_1m:99/k_3m:87/d_3m:74_S
IMXUSDT,SHORT,2026-03-18T06:45:32+00:00,2026-03-18T08:23:04+00:00,97.5,0.177241,0.177178,0.036,CLOSE,Manual/System Detection
