sym,side,window_days,window_months,window_is_1yr,gain_pct,bh_gain_pct,delta_vs_bh_pct,gain_per_mo_pct,bh_per_mo_pct,max_dd_pct,tim_pct,win_rate_pct,trades,closes_per_month,sharpe_per_trade,bars,capital_usd,venue,mode,run_id,source,finished_at
CF,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CHRD,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CIBR,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CIEN,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CIEN,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CLF,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CLX,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CMC,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
CMC,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
COE,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
COP,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
