combination,side,asset_class,symbol,trades,pool_sharpe,win_rate,max_dd_pct,acc_gain_pct,avg_gain_trade,n_years,bh_pct
baseline,LONG,crypto,KAVAUSDT,45502,0.4219,62.42,5.43,17404.67,0.3825,5.33,-97.45
baseline,LONG,crypto,KNCUSDT,49850,0.4291,62.36,10.14,18438.66,0.3699,5.81,-87.82
baseline,LONG,crypto,KSMUSDT,47806,0.4295,62.48,6.04,18297.50,0.3827,5.57,-83.90
baseline,LONG,crypto,LINKUSDC,19597,0.4251,61.06,4.80,5565.58,0.2840,2.27,-52.87
baseline,LONG,crypto,LPTUSDT,855,0.3906,57.43,2.23,155.29,0.1816,0.10,11.06
baseline,LONG,crypto,LRCUSDT,45289,0.4112,62.30,6.47,18302.07,0.4041,5.37,-85.03
baseline,LONG,crypto,LTCUSDC,18177,0.4003,59.89,4.66,4279.42,0.2354,2.12,-46.14
baseline,LONG,crypto,LUNA2USDT,851,0.4331,58.87,1.86,245.52,0.2885,0.10,8.98
baseline,LONG,crypto,MAGICUSDT,899,0.3920,56.06,1.39,177.01,0.1969,0.10,-4.99
baseline,LONG,crypto,MANAUSDT,44060,0.3987,61.82,4.61,16131.59,0.3661,5.16,-91.83
baseline,LONG,crypto,MASKUSDT,839,0.2974,57.93,2.16,198.99,0.2372,0.10,-3.41
baseline,LONG,crypto,MORPHOUSDT,815,0.4521,60.12,1.61,188.15,0.2309,0.09,8.48
baseline,LONG,crypto,MOVRUSDT,879,0.3191,58.70,4.01,415.93,0.4732,0.10,1.91
baseline,LONG,crypto,MTLUSDT,43255,0.3918,62.48,8.64,15257.17,0.3527,5.04,-95.38
baseline,LONG,crypto,NEARUSDC,842,0.4589,61.40,1.78,284.60,0.3380,0.10,102.18
baseline,LONG,crypto,NKNUSDT,41631,0.3940,62.64,24.16,17037.49,0.4093,5.02,-99.52
baseline,LONG,crypto,NOTUSDT,816,0.3317,62.25,2.21,425.37,0.5213,0.10,25.66
baseline,LONG,crypto,ONDOUSDT,854,0.4404,60.07,4.05,346.82,0.4061,0.10,67.15
baseline,LONG,crypto,OPUSDT,823,0.4518,57.96,1.42,202.71,0.2463,0.10,3.60
baseline,LONG,crypto,ORDIUSDC,799,0.1702,59.07,1.93,366.34,0.4585,0.09,82.04
baseline,LONG,crypto,PARTIUSDT,898,0.4522,62.81,2.57,402.35,0.4480,0.10,9.22
baseline,LONG,crypto,PENDLEUSDT,768,0.4994,61.33,2.44,319.89,0.4165,0.09,36.55
baseline,LONG,crypto,PENGUUSDC,824,0.4970,59.83,2.53,304.05,0.3690,0.10,15.37
baseline,LONG,crypto,PTBUSDT,796,0.2909,64.95,17.42,390.04,0.4900,0.09,-97.41
baseline,LONG,crypto,QNTUSDT,797,0.4378,57.84,1.54,149.61,0.1877,0.09,5.91
baseline,LONG,crypto,QTUMUSDT,51679,0.4093,62.37,9.83,18438.71,0.3568,6.05,-63.23
baseline,LONG,crypto,RAYSOLUSDT,813,0.4429,61.01,1.83,240.29,0.2956,0.10,16.95
baseline,LONG,crypto,RENDERUSDT,817,0.4871,61.81,1.82,208.22,0.2549,0.10,21.75
baseline,LONG,crypto,RIFUSDT,789,0.5073,62.36,2.95,390.83,0.4953,0.09,47.11
baseline,LONG,crypto,RSRUSDT,47682,0.4349,62.91,7.92,22138.47,0.4643,5.56,-84.81
baseline,LONG,crypto,RUNEUSDT,854,0.4138,60.07,4.66,226.90,0.2657,0.10,7.24
baseline,LONG,crypto,RVNUSDT,44260,0.3750,62.02,6.20,16020.73,0.3620,5.16,-96.27
baseline,LONG,crypto,SANDUSDT,45342,0.3949,62.31,6.88,18060.34,0.3983,5.29,-19.60
baseline,LONG,crypto,SKLUSDT,44627,0.4198,63.14,7.80,20816.33,0.4665,5.24,-94.60
baseline,LONG,crypto,SKYUSDT,839,0.4038,58.64,1.47,146.81,0.1750,0.10,-7.11
baseline,LONG,crypto,SNXUSDT,49147,0.4428,62.95,9.28,21580.74,0.4391,5.74,-94.22
baseline,LONG,crypto,SOLUSDC,20520,0.4414,61.63,2.92,5650.12,0.2753,2.39,-15.47
baseline,LONG,crypto,STORJUSDT,46470,0.4121,62.72,7.63,18987.86,0.4086,5.43,-71.43
baseline,LONG,crypto,SUIUSDC,788,0.3857,56.85,1.76,195.93,0.2486,0.09,6.09
baseline,LONG,crypto,SUSHIUSDT,46044,0.4056,63.04,28.83,20519.97,0.4457,5.38,-94.70
baseline,LONG,crypto,SXPUSDT,46103,0.3789,62.66,11.91,18636.26,0.4042,5.76,-95.65
baseline,LONG,crypto,TAOUSDT,796,0.4820,62.94,2.26,223.65,0.2810,0.10,16.43
baseline,LONG,crypto,THETAUSDT,51153,0.4360,62.72,21.23,20226.72,0.3954,5.96,-53.40
baseline,LONG,crypto,TIAUSDC,836,0.4672,61.36,2.05,286.86,0.3431,0.10,23.41
baseline,LONG,crypto,TONUSDT,794,0.4127,59.19,2.27,336.33,0.4236,0.09,39.25
baseline,LONG,crypto,TRBUSDT,835,0.4361,60.12,1.69,205.81,0.2465,0.10,-3.54
