system,param,current_value,vectorizable,why_logic
crypto,CLOSE_FOOTHOLD_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,CONVICTION_SIZING_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,COUNTER_TREND_SMA200_BYPASS_ENABLED,True,YES,IF-GATE
crypto,CRASH_MULT_GRADIENT_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,CRYPTO_FH_MOMENTUM_DC_CONFIRM,True,YES,kw
crypto,CRYPTO_FH_MOMENTUM_DC_MAX_LONG,0.5,YES,kw
crypto,CRYPTO_FH_MOMENTUM_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,CRYPTO_FH_MOMENTUM_MAX_POSITIONS,4,YES,kw
crypto,CRYPTO_FH_MOMENTUM_MIN_MOVE_PCT,0.5,YES,kw
crypto,CRYPTO_FH_MOMENTUM_POSITION_SIZE_MULT,1,MAYBE_STATE,kw
crypto,CRYPTO_SPIKE_FADE_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,CRYPTO_SPIKE_FADE_MAX_POSITIONS,6,YES,kw
crypto,CRYPTO_SPIKE_FADE_THRESHOLD_PCT,10,YES,kw
crypto,CT_15M_MOMENTUM_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,CT_CHOP_4H_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,CT_CHOP_4H_MAX,50,MAYBE_STATE,IF-GATE
crypto,CT_DC_CROSSOVER_SKIP_ENABLED,True,YES,IF-GATE
crypto,CT_MFI_15M_LONG_MIN,45,YES,IF-GATE
crypto,CT_MFI_15M_SHORT_MAX,55,YES,IF-GATE
crypto,CT_STOCH_K_15M_LONG_MIN,45,YES,IF-GATE
crypto,CT_STOCH_K_15M_SHORT_MAX,55,YES,IF-GATE
crypto,CT_VOLUME_SURGE_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,CT_WT_VELOCITY_1H_MIN,9,YES,kw
crypto,CT_WT_VELOCITY_GATE_ENABLED,True,YES,IF-GATE
crypto,CYCLE_TP_TIERED_LEVELS,None,YES,kw
crypto,DAEMON_REENTRY_SHORT_WT_XUNDER_GATE_ENABLED,False,YES,IF-GATE
crypto,DAEMON_REENTRY_STALE_EXIT_ENABLED,True,MAYBE_STATE,kw
crypto,DATA_READY_TIMEOUT_SECONDS,20,MAYBE_STATE,IF-GATE
crypto,DC_BB_CROSSBACK_HYSTERESIS_PCT,2,YES,kw
crypto,DC_BB_D_BREAK_REVERSE_ENABLED,True,YES,kw
crypto,DC_BREAKOUT_ALLOW_15M,False,YES,kw
crypto,DC_BREAKOUT_ALLOW_3M,False,YES,kw
crypto,DC_BREAKOUT_ENTRY_ENABLED,True,YES,IF-GATE
crypto,DC_BREAKOUT_SCORE,15,YES,kw
crypto,DC_BREAKOUT_TF,1h,YES,kw
crypto,DC_EDGE_SIZING_ENABLED,True,YES,IF-GATE
crypto,DC_EDGE_SIZING_MAX_MULT,3,YES,kw
crypto,DC_EDGE_SIZING_MIN_MULT,1,YES,kw
crypto,DC_MOMENT_ENABLED,False,YES,IF-GATE
crypto,DC_MOMENT_OPPOSITE_PENALTY,-15,YES,kw
crypto,DC_MOMENT_STRONG_BONUS,10,YES,kw
crypto,DC_MOMENT_STRONG_THRESHOLD,40,YES,kw
crypto,DC_RECOVERY_EXIT_DISABLED_ACCOUNTS,None,YES,kw
crypto,DC_RECOVERY_EXIT_ENABLED,False,YES,kw
crypto,DC_RECOVERY_EXIT_TOLERANCE_ATR_MULT,0,YES,kw
crypto,DC_RECOVERY_EXIT_TOLERANCE_PCT,0.25,YES,kw
crypto,DC_WIDTH_CAP_MULT,10,YES,kw
crypto,DC_WIDTH_MAX_MULT,5,YES,kw
crypto,DC_WIDTH_SIZING_ENABLED,True,YES,IF-GATE
crypto,DD_BOUNCE_DD_STOP_ENABLED,True,MAYBE_STATE,kw
crypto,DD_BOUNCE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,DD_BOUNCE_REQUIRE_HIGHER_WT,True,YES,kw
crypto,DD_BOUNCE_WT_4H_ENABLED,True,YES,kw
crypto,DD_BOUNCE_WT_D_ENABLED,True,YES,IF-GATE
crypto,DEBUG,False,MAYBE_STATE,IF-GATE
crypto,DELTA_ENTRY_ACCEL_THRESHOLD,0,YES,kw
crypto,DELTA_ENTRY_SCORE_BONUS,15,YES,kw
crypto,DELTA_ENTRY_SCORE_PENALTY,-25,YES,kw
crypto,DELTA_EXIT_ACCEL_THRESHOLD,-0.1,YES,kw
crypto,DELTA_EXIT_DOM_TF_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,DELTA_EXIT_MIN_HOLD,4,YES,kw
crypto,DELTA_EXIT_OPPOSING_RATIO,1.5,MAYBE_STATE,kw
crypto,DELTA_EXIT_SCORE_BONUS,20,YES,kw
crypto,DELTA_EXIT_SPEED_DECAY,True,MAYBE_STATE,IF-GATE
crypto,DELTA_EXIT_TF,3m,MAYBE_STATE,kw
crypto,DELTA_GATE_STRONG_BUY_QUICK_BYPASS,True,MAYBE_STATE,kw
