system,param,current_value,vectorizable,why_logic
crypto,LOSS_EXIT_STOP_FUNCTIONS_KILL_ENABLED,False,YES,kw
crypto,LOSS_TECHNICAL_EXIT_NO_STALE_BLOCK,True,YES,kw
crypto,LR_PCTB_D_LONG_ENTRY_ENABLED,False,YES,IF-GATE
crypto,LR_PCTB_D_LONG_ENTRY_THRESHOLD,0.2,YES,IF-GATE
crypto,LS_RATIO_ENFORCE,True,MAYBE_STATE,IF-GATE
crypto,LS_RATIO_HARD_MAX,3.5,MAYBE_STATE,kw
crypto,LS_RATIO_HARD_MIN,0.05,MAYBE_STATE,kw
crypto,LS_RATIO_LOG_INTERVAL,60,MAYBE_STATE,IF-GATE
crypto,LS_RATIO_MAX,9,MAYBE_STATE,kw
crypto,LS_RATIO_MIN,0.11,MAYBE_STATE,kw
crypto,LT_TOP_SIZE,100,MAYBE_STATE,kw
crypto,MACD_EXIT_ENABLED,False,YES,IF-GATE
crypto,MACD_EXIT_MIN_GAIN,0.3,YES,IF-GATE
crypto,MACD_EXIT_TF,15m,YES,kw
crypto,MACD_ZERO_CROSS_ENABLED,False,YES,IF-GATE
crypto,MACD_ZERO_CROSS_SCORE,15,YES,kw
crypto,MACD_ZERO_CROSS_TF,1h,YES,kw
crypto,MANDATORY_HEDGE_HARD_THRESHOLD_PCT,-2,YES,kw
crypto,MANDATORY_HEDGE_ON_NEGATIVE_ENABLED,True,MAYBE_STATE,kw
crypto,MANDATORY_REENTRY_ALLOW_WT0_STRONG_CROSS,False,YES,kw
crypto,MANDATORY_REENTRY_K_HIGH_BLOCK,80,MAYBE_STATE,kw
crypto,MANDATORY_REENTRY_K_LOW_BLOCK,20,MAYBE_STATE,kw
crypto,MANDATORY_REENTRY_REQUIRE_K_NOT_EXTREME,True,MAYBE_STATE,kw
