Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Values_Defined,TFs_Tested,Empirical_Rows,Unique_Behaviors,Unique_Deltas
BB_RSI_STOCH_SCALP_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,"[25,6,9,12,15,18]",3m|15m|1h|4h|D,30,4,4
BB_RSI_STOCH_SCALP_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,False,False,"[""15m"",""3m"",""1h"",""4h"",""D""]",3m|15m|1h|4h|D,5,1,1
BTC_TECH_EXIT_WT_MIN_TFS,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,False,True,False,"[3,1]",3m|15m|1h|4h|D,10,4,4
EMA200_STOCHRSI_BODY_MULT,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[1.05,0.525]",3m|15m|1h|4h|D,10,4,4
EMA200_STOCHRSI_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
EMA200_STOCHRSI_K_LONG,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[20.0,10.0]",3m|15m|1h|4h|D,10,4,4
EMA200_STOCHRSI_K_SHORT,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[80.0,120.0,40.0]",3m|15m|1h|4h|D,15,4,4
EMA200_STOCHRSI_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[25,12]",3m|15m|1h|4h|D,10,4,4
EMA200_STOCHRSI_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[""1h"",""3m"",""15m"",""4h"",""D""]",3m|15m|1h|4h|D,5,1,1
EMA_PULLBACK_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
EMA_PULLBACK_SCORE_BONUS,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[35,17]",3m|15m|1h|4h|D,10,4,4
EMA_PULLBACK_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[""15m"",""3m"",""1h"",""4h"",""D""]",3m|15m|1h|4h|D,5,1,1
EMA_TF_15M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 1h,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,6,6
EMA_TF_1H_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,5,5
EMA_TF_3M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 4h,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,7,7
EMA_TF_4H_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
EMA_TF_5M_ENABLED,N/A_TIMEFRAME,BTCUSDC audit uses native 3m rather than Tradier 5m,N/A_TIMEFRAME,BTCUSDC audit uses native 3m rather than Tradier 5m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,[false],,0,0,0
