sheet,family,Switch,default,status,vector_causal,live_read,declared_in_quick,badly_wired,is_low_tf
ENTRY_PULLBACK_BOUNCE,ENTRY,MANDATORY_REENTRY_WT_FILTER_MIN_TFS,1,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MANDATORY_REENTRY_WT_FILTER_MIN_VELOCITY,0.0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MANDATORY_REENTRY_WT_FILTER_REQUIRE_FLIP,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MANDATORY_REENTRY_WT_FILTER_TF_MODE,15m_only,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MANDATORY_REENTRY_WT_FILTER_VELOCITY_RATIO,0.90,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MARKET_QUALITY_SCORE_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MI_TF_AGREE_MIN,0.0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MOM3_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MOMENTUM_BREAKOUT_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MOVER_THRESHOLD,5,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTF_ARMED_ENTRIES_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTF_ATR_TRAIL_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTF_DC_REJECT_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTF_FILTER_STRONG_BUY_QUICK_BYPASS,0.0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTF_GR_MIN_IND,5,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTS_BOTTOM_BONUS_THRESHOLD,25,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTS_BOTTOM_STRONG_THRESHOLD,40,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,MTS_GATE_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,NEWBORN_LOSS_KILL_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,NEWBORN_LOSS_KILL_GAIN_THRESHOLD_PCT,0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,NEWBORN_LOSS_KILL_REQUIRE_VEL_AGAINST,0.0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,NEWBORN_PROTECT_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,NEW_POSITION_MAX_LOSS_THRESHOLD,0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,NOLOSS_BYPASS_WT5OF5_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,OI_CONFIRM_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,OI_CONFIRM_MIN_CHANGE_PCT,0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,OI_CONFIRM_MIN_PRICE_PCT,0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,OPEN_INTENT_SIZE_GATES_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,PARTIAL_PROFIT_LOCK_V2_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,PEAK_GIVEBACK_BE_EROSION_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BAR_PATTERNS_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BAR_PATTERNS_FILTER_TF,D,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BAR_PATTERNS_FILTER_TF,4h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BAR_PATTERNS_FILTER_TF,1h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BAR_PATTERNS_FILTER_TF,15m,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_PULLBACK_GATE_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_PULLBACK_GATE_FILTER_TF,D,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_PULLBACK_GATE_FILTER_TF,4h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_PULLBACK_GATE_FILTER_TF,1h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_PULLBACK_GATE_FILTER_TF,15m,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_ENTRY_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_ENTRY_FILTER_TF,D,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_ENTRY_FILTER_TF,4h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_ENTRY_FILTER_TF,1h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_ENTRY_FILTER_TF,15m,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_FILTER_TF,D,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_FILTER_TF,4h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_FILTER_TF,1h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BB_RECOVERY_FILTER_TF,15m,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKEVEN_GAIN_EROSION_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKEVEN_GAIN_EROSION_FILTER_TF,D,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKEVEN_GAIN_EROSION_FILTER_TF,4h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKEVEN_GAIN_EROSION_FILTER_TF,1h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKEVEN_GAIN_EROSION_FILTER_TF,15m,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKOUT_RETEST_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKOUT_RETEST_FILTER_TF,D,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKOUT_RETEST_FILTER_TF,4h,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,BREAKOUT_RETEST_FILTER_TF,1h,HOOKED_BOTH,True,True,True,False,
