switch,candidate,filter,opt,baseline,gain,delta,trades,valid,F_filling,recipe
WT_COMPOSITE_ENTRY_BLOCK,-20.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_BLOCK,-15.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_BLOCK,-10.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_GOOD,15.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_GOOD,22.5,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_GOOD,30.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_GOOD,37.5,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_GOOD,45.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_OK,5.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_OK,7.5,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_OK,10.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_OK,12.5,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_OK,15.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_STRONG,25.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_STRONG,37.5,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_STRONG,50.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_STRONG,62.5,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_STRONG,75.0,,,-2.0853,-2.0853,0,0,False,False,
WT_DIV_ENTRY_GATE_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
WT_DIV_ENTRY_GATE_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_ALL_ENTRIES,0.0,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_ALL_ENTRIES,0.0_ALT,EXIT_TO_REDUCE_ADAPTER_FILTER_TF,4h,-2.0853,-1.5493,0.5359,11,True,True,GR_FILTER_ALL_ENTRIES=0.0_ALT + EXIT_TO_REDUCE_ADAPTER_FILTER_TF=4h + BB_WT_TF=15m + GR=18 + BB_RECOVERY_FILTER_TF=OFF + DC_BREAK_FILTER_TF=1h
GR_FILTER_VEC_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_VEC_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_VEC_FILTER_TF,OFF,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_VEC_FILTER_TF,D,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_VEC_FILTER_TF,4h,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_VEC_FILTER_TF,1h,,,-2.0853,-2.0853,0,0,False,False,
GR_FILTER_VEC_FILTER_TF,15m,,,-2.0853,-2.0853,0,0,False,False,
WT_AGAINST_FILTER_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
WT_AGAINST_FILTER_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_EXIT_PCTB_FAIL,0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_EXIT_PCTB_FAIL,0.5,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_EXIT_PCTB_FAIL,1.0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_EXIT_PCTB_FAIL,2.0,,,-2.0853,-2.0853,0,0,False,False,
ALL_TF_AGAINST_CLOSE_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
ALL_TF_AGAINST_CLOSE_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
WT_CROSS_EXIT_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
WT_CROSS_EXIT_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
BB_SQUEEZE_EXIT_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
BB_SQUEEZE_EXIT_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
BTC_DIVERGENCE_EXIT_AGAINST,0,,,-2.0853,-2.0853,0,0,False,False,
