switch,value,mean_delta_vs_bh,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,BNBUSDC_LONG,BNBUSDC_SHORT,BTCDOMUSDT_LONG,BTCDOMUSDT_SHORT,BTCUSDC_LONG,BTCUSDC_SHORT,DOGEUSDC_LONG,DOGEUSDC_SHORT,ETHUSDC_LONG,ETHUSDC_SHORT,HYPEUSDT_LONG,HYPEUSDT_SHORT,SOLUSDC_LONG,SOLUSDC_SHORT,WLDUSDC_LONG,WLDUSDC_SHORT,XRPUSDC_LONG,XRPUSDC_SHORT,ZECUSDC_LONG,ZECUSDC_SHORT
LRB_MAX_4h,0.5,2.0933,10,POSITIVE,0.5,2.0933,-14.755,10.226,-1.605,0.516,-21.401,11.488,6.93,-5.918,116.228,-76.59,-2.132,1.635,117.257,-90.988,-12.425,9.749,-24.476,18.48,-1.546,1.193
DCPOS_MAX_D,0.35,2.0518,10,POSITIVE,0.35,2.0518,-22.69,17.887,-1.456,0.457,-28.503,18.715,8.456,-7.522,157.596,-114.777,-8.136,6.699,149.11,-125.177,-15.988,13.336,-34.043,27.775,-3.127,2.423
SIZE_SLOPE_4h,0.5,2.003,10,POSITIVE,12.0,48.0725,6.822,-3.777,0.479,-0.319,5.983,-7.268,-0.322,4.697,-29.781,45.028,2.204,-0.011,-33.421,42.283,5.167,-1.022,9.95,-6.832,0.619,-0.419
BB_MAX_D,0.5,1.9937,10,POSITIVE,0.2,2.2025,-16.641,12.318,-1.519,0.465,-17.031,10.26,4.385,-2.961,111.356,-72.879,-7.162,5.386,114.222,-90.412,-15.926,13.011,-24.704,18.331,-2.53,1.905
LRB_MAX_1h,0.65,1.944,10,POSITIVE,0.65,1.944,-10.083,6.57,-1.415,0.444,-12.003,7.763,5.069,-4.137,86.524,-53.129,-3.154,1.938,76.978,-54.777,-8.444,6.31,-16.179,11.031,-1.321,0.895
LRB_MAX_4h,0.35,1.9388,10,POSITIVE,0.5,2.0933,-20.003,15.332,-1.787,0.704,-27.709,17.534,12.014,-11.533,161.609,-120.357,-7.306,5.891,156.119,-132.735,-18.813,16.314,-31.137,25.356,-3.138,2.42
BB_MIN_15m,1.1,1.9213,10,POSITIVE,0.05,3.2594,-27.474,23.704,-1.598,0.946,-35.959,28.065,13.903,-13.697,217.524,-186.901,-8.051,6.533,210.967,-179.328,-20.543,17.163,-42.026,36.056,-3.746,2.887
LRB_MAX_4h,0.65,1.9136,10,POSITIVE,0.5,2.0933,-11.069,6.499,-1.398,0.449,-14.938,6.763,4.215,-2.783,81.434,-47.573,-1.12,0.869,85.383,-59.442,-9.066,6.26,-18.433,12.527,-1.028,0.723
DCPOS_MAX_D,0.65,1.9006,9,POSITIVE,0.35,2.0518,-13.286,8.717,-0.943,-0.079,-20.117,10.455,3.991,-2.799,99.125,-61.57,-5.37,4.074,88.437,-62.998,-9.943,6.883,-18.91,13.093,-2.371,1.623
DCPOS_MAX_D,0.5,1.886,10,POSITIVE,0.35,2.0518,-18.701,13.957,-1.087,0.089,-24.214,13.902,6.124,-5.487,119.647,-80.634,-7.46,5.777,119.875,-93.677,-14.309,10.668,-26.461,20.396,-2.608,1.923
