field,historical_venues,stocks_1yr_metric_count,crypto_1yr_metric_count,historical_delta_min,historical_delta_max,current_classification,current_connection_sites,reuse_decision,engine_replay_required,inventory_engine_sha256
MIN_TFS_AGREE,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
MIN_TFS_AGREE_ENTRY,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
MIN_TFS_AGREE_EXIT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
MIN_TFS_AGREE_REENTRY,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
MITIGATOR_TIER1_DROP,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
MI_ENTRY_ENABLED_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
MI_ENTRY_EXHAUST_BONUS,CRYPTO_1YR,,133,-1.0,4253.2544,CONNECTED_BOTH,"[""v12_quick_engine.py:6682:_exact_entry_contract_masks"",""v12_quick_engine.py:6685:_exact_entry_contract_masks""]",CURRENTLY_CONNECTED_NO_REIMPLEMENT,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
MI_VELOCITY_EXIT_ENABLED_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
MODE,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
MOMENTUM_FADE_VOL_MIN_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
MOMENTUM_FADE_VOL_MIN_TRADIER_DEFAULT,CRYPTO_1YR,,1,1.25,1.25,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
MTF_ARROW_SIZE_GAIN,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
MTF_ENTRY_REQUIRE_GR_FILTER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
NOLOSS_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
OI_CONFIRM_MIN_CHANGE_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,DEFERRED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
OI_GATE_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
OI_GATE_OI_CHANGE_MIN,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
OPTIMAL_HOLD_BARS_15M,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PARABOLIC_PROTECTION_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PARABOLIC_RSI_4H_MIN,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PARTIAL_PROFIT_LOCK_ARM_GAIN_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PARTIAL_PROFIT_LOCK_BE_BUFFER_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PARTIAL_PROFIT_LOCK_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
