switch,value,mean_delta,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,ARM_LONG,AXTI_SHORT,HAO_SHORT,MNTS_SHORT,MU_LONG,NVDA_LONG,ROKU_LONG,TTD_SHORT,tim_ARM_LONG,tim_AXTI_SHORT,tim_HAO_SHORT,tim_MNTS_SHORT,tim_MU_LONG,tim_NVDA_LONG,tim_ROKU_LONG,tim_TTD_SHORT
RSI_MAX_4h,60,-1.1385,1,REDO_FUNCTION,80,-0.3847,-5.1,-0.528,-0.103,-1.565,-0.883,-1.869,1.539,-0.599,38.9,53.2,42.4,42.8,30.4,32.9,39.7,37.0
ADX_MIN_15m,20,-1.2033,1,REDO_FUNCTION,10,-0.057,-3.583,-1.353,-2.859,-2.019,-0.561,-1.669,5.082,-2.664,26.4,31.7,23.7,24.8,29.2,29.2,26.5,25.1
ADX_MIN_4h,20,-1.2044,1,REDO_FUNCTION,10,-0.1244,-2.698,-1.432,-0.203,-4.255,-0.401,-1.661,2.809,-1.794,39.6,47.7,42.4,16.3,38.2,31.2,36.3,33.1
DCPOS_MAX_1h,0.8,-1.2219,2,REDO_FUNCTION,1.0,0.0,-6.041,-0.447,-0.635,-0.51,-0.797,-2.297,0.618,0.334,42.1,56.2,44.3,43.7,36.8,35.9,40.0,35.9
BB_MAX_1h,1.0,-1.2519,1,REDO_FUNCTION,1.0,-1.2519,-4.946,-0.47,-1.542,-0.363,-0.647,-1.999,-0.166,0.118,48.7,58.3,45.6,43.6,45.7,45.1,47.3,41.0
WT_LEVEL_MAX_4h,0,-1.2541,1,REDO_FUNCTION,20,-1.1125,-7.19,-0.288,-1.302,0.0,-1.158,-2.779,5.993,-3.309,24.1,59.0,33.1,46.6,19.8,19.5,24.5,24.6
BB_MAX_4h,0.7,-1.2552,1,REDO_FUNCTION,1.0,-0.5644,-6.745,-0.088,-0.922,-0.043,-1.06,-2.844,2.666,-1.006,34.7,55.1,39.8,46.3,27.6,26.7,32.5,30.6
STOCH_MIN_1h,30,-1.2676,1,REDO_FUNCTION,10,-0.4894,-3.12,-1.706,-1.568,-1.843,-0.484,-1.722,3.566,-3.264,34.6,39.1,34.7,26.5,34.4,34.2,34.7,32.0
STOCH_MIN_15m,30,-1.2709,1,REDO_FUNCTION,10,-0.574,-4.645,-1.351,-1.865,-1.567,-0.586,-1.846,3.633,-1.94,35.1,54.1,30.0,40.6,32.9,28.2,34.7,38.2
MFI_MIN_1h,30,-1.2761,1,REDO_FUNCTION,30,-1.2761,-2.366,-1.762,-2.262,-2.595,-0.377,-1.334,2.892,-2.405,39.9,47.7,38.5,29.1,38.6,39.0,39.5,34.8
VOL_BAND_4h,2.0,-1.3162,2,REDO_FUNCTION,0.5,-0.8195,-1.132,-2.319,-3.092,-2.868,-0.392,1.672,-2.583,0.184,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
RSI_MAX_15m,60,-1.3431,1,REDO_FUNCTION,80,-0.2223,-2.359,-1.222,-2.712,-2.142,-0.377,-0.895,1.317,-2.355,48.0,51.5,40.1,39.1,41.9,42.4,44.2,32.6
STOCH_MAX_4h,80,-1.362,1,REDO_FUNCTION,90,-1.0099,-3.473,-1.757,-1.411,-2.876,-0.526,-1.566,2.038,-1.325,39.7,40.9,26.7,33.0,35.7,35.3,40.6,37.3
XCONF_STOCH_4h,on,-1.3665,1,REDO_FUNCTION,on,-1.3665,-4.118,-2.441,-2.616,-3.507,-0.463,-1.698,6.239,-2.328,75.6,89.0,82.9,81.9,73.3,74.0,75.3,72.0
STOCH_MAX_15m,70,-1.3701,1,REDO_FUNCTION,90,-0.5743,-2.745,-1.131,-2.96,-2.288,-0.485,-1.51,2.417,-2.259,39.6,27.7,29.6,25.4,38.4,39.3,42.0,28.7
BB_MAX_15m,0.9,-1.3724,1,REDO_FUNCTION,1.0,-1.0744,-1.456,-1.552,-3.097,-2.527,-0.216,-0.759,1.339,-2.711,50.4,50.3,33.4,36.3,46.8,46.2,43.6,32.1
VOL_BAND_4h,1.0,-1.3806,1,REDO_FUNCTION,0.5,-0.8195,-1.984,-2.015,-3.467,-2.376,-0.463,0.583,-0.901,-0.422,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
XCONF_DC_4h,on,-1.3855,1,REDO_FUNCTION,on,-1.3855,-2.846,-2.324,-6.383,-3.964,-0.256,-0.925,7.557,-1.943,76.1,93.6,89.7,98.8,78.5,78.2,77.9,74.7
RSI_MIN_1h,40,-1.3975,1,REDO_FUNCTION,30,-0.6661,-1.722,-2.009,-2.775,-2.775,-0.259,-0.871,3.49,-4.259,38.8,36.1,35.8,28.5,38.8,37.4,42.2,35.4
RSI_MIN_4h,30,-1.4104,1,REDO_FUNCTION,30,-1.4104,-0.385,-1.492,-6.078,-1.896,-0.049,-0.097,0.653,-1.939,48.5,48.0,26.9,40.1,47.6,47.4,50.3,40.6
DCPOS_MAX_D,0.5,-1.4151,1,REDO_FUNCTION,1.0,0.0,-8.984,-0.087,-0.313,0.0,-1.364,-3.923,4.891,-1.541,25.1,59.8,40.9,46.6,18.2,19.9,25.3,25.5
BB_MAX_D,0.5,-1.4376,1,REDO_FUNCTION,1.0,-0.5709,-9.184,-0.087,-0.612,-0.329,-1.373,-3.613,5.146,-1.449,23.7,59.8,36.7,44.4,17.9,20.2,23.7,24.7
